idpoint|longitude|latitude|sog|cog|ts|route
203|-4.78261|48.359985|10|282|1456764492|R_01
204|-4.782383|48.36001|7|101|1447173791|R_01
205|-4.795033|48.360012|18.3|317.3|1451135066|R_01
206|-4.782772|48.360012|7.8|57.7|1456763871|R_01
207|-4.782444|48.36005|10.5|279|1452610396|R_01
208|-4.783278|48.360054|8.7|47.9|1457869350|R_01
209|-4.783108|48.360058|7.5|42.9|1458895149|R_01
210|-4.792422|48.360172|17.2|125.1|1445877499|R_01
211|-4.79288|48.36025|13.6|129.9|1458924007|R_01
212|-4.795397|48.360485|16.6|307|1456578293|R_01
213|-4.795428|48.36054|17.8|142.4|1457454909|R_01
214|-4.797332|48.3607|10.9|135.2|1450958419|R_01
215|-4.79846|48.36082|17.3|290.2|1446219650|R_01
216|-4.80262|48.360912|13.9|125.8|1449846572|R_01
217|-4.796697|48.36107|17.4|149.8|1454686595|R_01
218|-4.797983|48.361103|11.4|155.1|1456503156|R_01
219|-4.795593|48.36112|16.4|325|1450962769|R_01
220|-4.797928|48.36145|17.9|158.5|1445612154|R_01
221|-4.801555|48.361534|16.7|295|1457715932|R_01
222|-4.797037|48.36178|17.7|143.4|1458498018|R_01
223|-4.798865|48.361794|11.9|148.9|1457788241|R_01
224|-4.797051|48.361828|10.6|139.7|1449921387|R_01
225|-4.798645|48.36198|13.2|150.7|1447501758|R_01
226|-4.799473|48.36202|16.9|149.8|1456573701|R_01
227|-4.798002|48.36204|14.1|160.4|1450451415|R_01
228|-4.799152|48.362144|16.6|162|1448124380|R_01
229|-4.7975|48.362213|10.6|160.4|1450370567|R_01
230|-4.799433|48.36223|11|157|1451407430|R_01
231|-4.797505|48.362328|10.9|148.2|1456055104|R_01
232|-4.798085|48.362465|15.8|141.3|1458232821|R_01
233|-4.798278|48.362507|11.1|156.1|1455969348|R_01
234|-4.799551|48.36253|11.7|161|1445684180|R_01
235|-4.797743|48.36254|11.1|150.6|1458474116|R_01
236|-4.805682|48.3626|15.1|113.2|1452265511|R_01
237|-4.79903|48.362633|13.7|146.3|1457627938|R_01
238|-4.798564|48.362755|16.7|133.8|1447259760|R_01
239|-4.798507|48.362865|12.7|147.1|1457080499|R_01
240|-4.798818|48.363007|15.7|163.7|1446292640|R_01
241|-4.800313|48.36314|17.3|153.4|1446377982|R_01
242|-4.798403|48.36318|9.7|160.1|1452609561|R_01
243|-4.799052|48.363224|11.3|153.5|1452789574|R_01
244|-4.799153|48.363495|13.1|148.4|1446897097|R_01
245|-4.80071|48.364|12|158.5|1451575151|R_01
246|-4.812145|48.36405|12.9|127.1|1448636830|R_01
247|-4.798727|48.364075|10.1|163.9|1452518087|R_01
248|-4.799732|48.36416|11.2|154.7|1446482541|R_01
249|-4.802023|48.364166|17.4|134.2|1447087362|R_01
250|-4.800717|48.36421|13.2|161.4|1451234399|R_01
251|-4.813231|48.364525|14.2|112.6|1447518628|R_01
252|-4.799047|48.36492|17.7|149.5|1447403938|R_01
253|-4.813497|48.364933|14.4|122.6|1453739919|R_01
254|-4.80207|48.365307|19.3|318.9|1457882642|R_01
255|-4.814652|48.36546|13.8|117.8|1445188115|R_01
256|-4.80064|48.366154|12|157.1|1454759615|R_01
257|-4.801562|48.366173|18.8|324.7|1457791656|R_01
258|-4.801047|48.366222|15.1|161.1|1458993274|R_01
259|-4.822021|48.366295|14.1|130.6|1449219763|R_01
260|-4.80097|48.36634|15.9|141.1|1451925501|R_01
261|-4.80237|48.36636|15.3|147.8|1446741691|R_01
262|-4.800555|48.36644|19.6|330.3|1449925560|R_01
263|-4.802112|48.366806|10.9|157.1|1453635401|R_01
264|-4.801343|48.36682|12.2|148.1|1456763562|R_01
265|-4.819|48.366825|13.5|121|1457713392|R_01
266|-4.802802|48.3669|16|150.3|1447587457|R_01
267|-4.819207|48.366913|14|120.8|1449401546|R_01
268|-4.801855|48.367172|10.2|158.4|1452340318|R_01
269|-4.801545|48.367405|11.4|154.5|1446396201|R_01
270|-4.801177|48.367706|11.1|160.2|1451317721|R_01
271|-4.803502|48.368|17.1|152.7|1450525823|R_01
272|-4.801957|48.36804|11.9|160.2|1459007095|R_01
273|-4.822895|48.368046|14|130.7|1448191951|R_01
274|-4.821127|48.368366|14.5|118.9|1446136410|R_01
275|-4.80312|48.368435|11.3|148.8|1447241752|R_01
276|-4.802615|48.368687|11.7|142.8|1451130675|R_01
277|-4.801878|48.368767|11.7|145.8|1450197470|R_01
278|-4.804522|48.36908|12.6|145.6|1444474281|R_01
279|-4.807307|48.369175|15.7|123.2|1458664407|R_01
280|-4.810662|48.369205|16.4|114.2|1447173461|R_01
281|-4.803956|48.369503|13|153.1|1451061829|R_01
282|-4.806215|48.36961|16.9|143.8|1455727411|R_01
283|-4.805119|48.369633|17.8|147.6|1458894847|R_01
284|-4.812492|48.369648|16.1|117.5|1445963603|R_01
285|-4.804527|48.369766|12.7|150|1445271040|R_01
286|-4.804468|48.36982|12.4|141.3|1446982514|R_01
287|-4.805122|48.369873|16.9|142.9|1450716048|R_01
288|-4.808277|48.36989|17.2|153|1457869020|R_01
289|-4.804616|48.37002|14.6|150|1448711618|R_01
290|-4.811934|48.37012|16.2|110|1458578458|R_01
291|-4.803527|48.37028|11.6|148.9|1449662102|R_01
292|-4.81402|48.370346|15.7|107.8|1445791287|R_01
293|-4.804885|48.370453|12|144.2|1445772979|R_01
294|-4.820793|48.370625|16|111|1446914081|R_01
295|-4.804811|48.370647|13.4|147.9|1453290546|R_01
296|-4.819805|48.37105|15.9|108.4|1452184421|R_01
297|-4.814212|48.371105|15.3|109|1447346062|R_01
298|-4.807655|48.371193|13.8|143.8|1447692004|R_01
299|-4.805897|48.371414|12.1|139.3|1446217625|R_01
300|-4.805435|48.37172|12.1|150.7|1448901972|R_01
301|-4.805238|48.371864|13.6|137.4|1448452619|R_01
302|-4.806805|48.371937|14.5|142.3|1449316141|R_01
303|-4.807723|48.37209|17.1|145.8|1457107153|R_01
304|-4.831543|48.372295|14.8|123.6|1449846232|R_01
305|-4.806667|48.372353|16.7|143.9|1449057180|R_01
306|-4.824827|48.37262|15.2|104.6|1457627621|R_01
307|-4.824243|48.372696|15.8|107|1454686294|R_01
308|-4.828078|48.373|15.3|113.1|1450429382|R_01
309|-4.833233|48.373047|15.2|122.5|1452265210|R_01
310|-4.80762|48.373215|14|136.4|1447427339|R_01
311|-4.827008|48.37327|15.8|110.1|1447259459|R_01
312|-4.824453|48.373356|15.9|106.3|1445877172|R_01
313|-4.80757|48.373432|13.6|149.1|1454844876|R_01
314|-4.822447|48.37352|16.2|102.4|1457454603|R_01
315|-4.807893|48.373528|16.6|138.3|1453030263|R_01
316|-4.808045|48.37367|16.5|137.2|1454154472|R_01
317|-4.809038|48.37376|15.4|138.5|1454430908|R_01
318|-4.808536|48.37384|14.5|140.5|1451147677|R_01
319|-4.809227|48.374046|17.3|142.1|1443869488|R_01
320|-4.807978|48.37406|14.8|136.5|1451215980|R_01
321|-4.810513|48.37411|16.4|143.8|1449506516|R_01
322|-4.808321|48.374275|13.9|138.7|1445357503|R_01
323|-4.808692|48.37434|17.1|140.6|1448382793|R_01
324|-4.808353|48.374573|13.3|138|1451666457|R_01
325|-4.809673|48.37467|13.5|143.9|1450958118|R_01
326|-4.809504|48.37467|13.4|143.5|1456681161|R_01
327|-4.835803|48.374687|14.3|113.4|1448636528|R_01
328|-4.81368|48.37475|17.7|143.9|1455897906|R_01
329|-4.810665|48.374866|16.7|139.5|1453394388|R_01
330|-4.809937|48.374928|13.8|137.6|1454661540|R_01
331|-4.81041|48.375366|13.6|137.7|1457178919|R_01
