,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
3877,367363740,2023-01-01T00:00:16,29.2655,-89.3533,0.1,299.8,511.0,LADY CRYSTAL,,WDE5231,31.0,5.0,15.0,6.0,,0.0,A
3878,368247630,2023-01-01T00:00:12,28.40771,-80.63027,0.0,154.4,511.0,WANDERLOST,IMO0000000,WDM8908,37.0,,19.0,6.0,,,B
3879,366971360,2023-01-01T00:00:20,41.61587,-87.32515,0.0,179.9,0.0,JOHN G MUNSON,IMO5173670,WDH7557,70.0,5.0,234.0,22.0,8.2,70.0,A
3880,316042039,2023-01-01T00:00:09,49.3124,-123.1314,7.9,123.1,124.0,OCEAN KITSILANO,IMO9833620,,52.0,5.0,28.0,13.0,6.1,52.0,A
3881,368160350,2023-01-01T00:00:50,30.3929,-86.50937,0.0,360.0,511.0,OCEANSUITE,IMO0000000,WDL7447,37.0,,12.0,5.0,,,B
3882,367358240,2023-01-01T00:00:06,39.85284,-75.24222,0.0,306.4,511.0,WEEKS 551,,WBX3592,90.0,15.0,47.0,18.0,,33.0,A
3883,366277460,2023-01-01T00:00:23,43.53987,-70.12683,6.7,342.0,511.0,DE DEE MAE II,,WSE6998,30.0,,15.0,5.0,,,B
3884,366979150,2023-01-01T00:00:12,29.95771,-90.15647,0.0,130.6,511.0,LADY MIDGE,,WDF2943,31.0,0.0,20.0,7.0,,31.0,A
3885,338141015,2023-01-01T00:00:48,25.18353,-80.38816,0.0,351.3,511.0,JIM'S JOY II,,,37.0,,12.0,4.0,,,B
3886,366939710,2023-01-01T00:00:05,40.64113,-74.12964,0.0,186.9,214.0,MIRIAM MORAN,IMO7908146,WQZ6572,31.0,0.0,30.0,9.0,3.9,52.0,A
3887,368164530,2023-01-01T00:01:03,33.71245,-118.25271,12.0,115.8,114.0,ANGELS PILOT,,WDL7900,50.0,0.0,17.0,5.0,2.0,50.0,A
3888,338380563,2023-01-01T00:00:51,33.62049,-117.92742,0.0,360.0,511.0,STINGER,IMO0000000,,37.0,,13.0,4.0,,,B
3889,367666240,2023-01-01T00:00:53,29.68536,-91.10013,0.2,31.8,511.0,AQUEOS SPLASH,,WDH9259,60.0,5.0,22.0,,,90.0,A
3890,316041703,2023-01-01T00:00:51,49.19562,-123.87438,22.5,216.4,219.0,CTOW NANAIMO A,IMO0000000,,51.0,,8.0,3.0,,,B
3891,338192944,2023-01-01T00:00:51,34.21696,-77.81322,0.5,204.7,511.0,ISLAND SOUL,IMO0000000,,37.0,,0.0,0.0,,,B
3892,338441677,2023-01-01T00:00:51,27.68859,-82.72286,0.8,190.9,511.0,SUPER SPORT,IMO0000000,,37.0,,16.0,5.0,,,B
3893,775998172,2023-01-01T00:00:52,25.78235,-80.21324,0.0,19.9,19.0,ALEGRIA,IMO0000000,YYD1821,37.0,,0.0,0.0,,,B
3894,368182060,2023-01-01T00:00:54,18.07935,-65.79669,0.0,291.0,32.0,PYSEAS,IMO0000000,WDL9765,36.0,,15.0,8.0,,,B
3895,338119178,2023-01-01T00:00:54,27.7183,-82.47892,0.1,116.6,511.0,,IMO0000000,,37.0,,0.0,0.0,,,B
3896,319247500,2023-01-01T00:00:55,47.26196,-122.35871,0.0,38.5,511.0,LEMONADE,IMO0000000,ZGOO5,37.0,,26.0,6.0,,,B
3897,367797440,2023-01-01T00:00:33,40.31731,-79.89516,0.0,174.1,322.0,JAMES R MOREHEAD,,WDJ6406,31.0,12.0,36.0,10.0,,57.0,A
3898,338926791,2023-01-01T00:00:36,32.85083,-79.94604,0.0,0.0,511.0,CG26241,,,90.0,5.0,7.0,,,51.0,A
3899,368224370,2023-01-01T00:00:37,47.6547,-122.20683,0.0,202.0,181.0,BLU WAVE,IMO0000000,WDM6344,37.0,,15.0,5.0,,,B
3900,367712630,2023-01-01T00:00:43,48.49259,-122.68031,0.0,268.6,511.0,RADIANT STAR,IMO0000000,WDI5851,37.0,,23.0,6.0,,,B
3901,338425366,2023-01-01T00:01:03,38.77712,-76.56282,0.2,332.6,511.0,OCEAN DANCE,IMO0000000,,37.0,,16.0,5.0,,,B
3902,367376530,2023-01-01T00:00:15,28.74252,-88.82556,0.0,242.2,511.0,MATTERHORN TLP,,WDE6150,90.0,3.0,,,,90.0,A
3903,368033680,2023-01-01T00:00:18,32.24527,-80.74724,0.0,259.3,511.0,SEA SONG,IMO0000000,WDK2239,36.0,,12.0,4.0,,,B
3904,232046024,2023-01-01T00:00:16,25.89539,-80.12812,0.8,360.0,258.0,GLADIUS,IMO0000000,MNCK2,37.0,,31.0,7.0,,,B
3905,338397075,2023-01-01T00:00:21,30.2815,-87.68527,0.0,63.0,511.0,IRISH III,IMO0000000,,37.0,,12.0,4.0,,,B
3906,338432501,2023-01-01T00:00:21,36.83107,-75.97639,0.0,360.0,511.0,MY NAVY,IMO0000000,,37.0,,13.0,6.0,,,B
3907,368274410,2023-01-01T00:00:20,18.44183,-64.76291,0.1,0.5,511.0,ENDLESS,IMO0000000,WDN3724,36.0,,14.0,7.0,,,B
3908,338433846,2023-01-01T00:00:23,38.67738,-77.25243,0.0,360.0,511.0,ISLAND TIME,IMO0000000,,37.0,,14.0,4.0,,,B
3909,368072710,2023-01-01T00:00:27,40.88287,-72.5003,0.0,360.0,511.0,HOT POTATO,IMO0000000,WDK6249,90.0,,70.0,6.0,,,B
3910,367704260,2023-01-01T00:00:11,29.89865,-89.90342,0.0,360.0,511.0,JAMES HENRY,,WDI5012,60.0,0.0,14.0,,,50.0,A
3911,368200860,2023-01-01T00:00:11,26.09257,-80.17792,0.0,261.2,511.0,YOLO,IMO0000000,WDM3830,37.0,,27.0,8.0,,,B
3912,368187510,2023-01-01T00:00:10,38.87405,-77.022,0.0,227.7,511.0,SPIRIT OF BALTIMORE2,,WDM2375,60.0,5.0,48.0,12.0,2.3,60.0,A
3913,368067880,2023-01-01T00:00:12,28.71037,-80.78399,8.4,226.9,511.0,DOLPHIN,IMO0000000,WDK5743,37.0,,17.0,6.0,,,B
3914,367694730,2023-01-01T00:00:05,29.30888,-94.81294,0.0,161.2,511.0,TRITON,IMO9792395,WDI4059,31.0,0.0,22.0,,,52.0,A
3915,368083460,2023-01-01T00:01:10,25.94016,-80.13755,0.0,14.3,511.0,MAZE,IMO0000000,WDK7338,37.0,,20.0,8.0,,,B
